date,likes,user,location,text
2022-06-17 21:05:37+00:00,0,cosmotec_brasil,Brasil,"A semana foi intensa para o time da COSMOTEC INTERNATIONAL!

Visitamos o Grupo Boticário para levar as últimas novidades e tendências em texturas e sensoriais através de sugestões de fórmulas e ingredientes inovadores. 

Conte com a Cosmotec para trazer s…https://t.co/GGh8cbIQ8C"
2022-06-17 21:04:56+00:00,2,mrsmcfly_,,"eu me arrumando, pensando ""bah, preciso comprar um perfume novo né""

CINCO minutos depois o boticário da minha cidade manda mensagem com tabela das promoções da semana"
2022-06-17 21:02:16+00:00,0,eusarahmarcal,,"Comprei um hidratante mara na Boticário, muito bom poder se mimar"
2022-06-17 20:56:14+00:00,0,sharetuda,,"o perfume que eu uso da Boticário era 80$ agora tá 150$ 

🤪🤡"
2022-06-17 20:53:42+00:00,0,ansieduda,"Olinda, Brasil",minhas maquiagens venceram tudo um kit de sombra maravilhosa da o Boticário que Nathalia me deu eu tô com pena de jogar fora tá novinho nesses anos de pandemia eu não coloquei nada na cara
2022-06-17 20:42:29+00:00,1,Johvalentee,,fomos na boticário gastar um pouquinho😍
2022-06-17 20:40:11+00:00,5,brbaralemos_,"Porto Alegre, Brasil","Bah, o novo creme de morango da  Boticário é maravilhoso, cheiro docinho, parece que tu te perfumou! Quem quiser encomendar, me chamaaasaaaaA"
2022-06-17 20:30:43+00:00,0,_CDI_CDI,"Cupom, descontos na Internet!","[O BOTICARIO] 📦 Frete Grátis 🇧🇷
Kit Presente de Dia dos Namorados Egeo Dolce (3 itens)
🔥 R$ 172 em até 8x
🛒 https://t.co/siQa9if5QI
. https://t.co/inKdsSrFGE"
2022-06-17 20:16:52+00:00,1,tremmari_,,Incrível como a Boticário me sabota pois nunca tem promoção do floratta blue
2022-06-17 20:07:08+00:00,0,Lauracrvg18,,"Tô doida pra Cassiane trazer a revista da Boticário pra mim pode pegá outro perfume,O meu já ta pelo fim,e fica sem meu cheirinho não da kkk"
2022-06-17 19:53:08+00:00,1,ducawn,"Pernambuco, Brasil",@arieunog amg eh aql da o boticário?
2022-06-17 19:43:35+00:00,2,swpremethunder,.,"@donagabu Teve uma época que eu comprei alguns perfumes importados e kkkkkkk tirando o J'adore da Dior, prefiro os da o Boticário msm. Maravilhosos aaa"
2022-06-17 19:34:42+00:00,20,swpremethunder,.,"Coisas da Avon (sim kkk), o Boticário e natura, sabonete Dove, andar de táxi lotação (kkk), latinha de biscoito, casa com + de 1 andar.

O mais engraçado é que várias dessas coisas se tornaram corriqueiras pra mim, e agora tão voltando a ser coisa de rico (boticário por ex)"
2022-06-17 19:33:12+00:00,0,1pr1nessa,Manaus-Am,Entrei no boticario pra comprar uma coisa específica e a mocinha passou tanto perfume em mim q tô uma frorzinha de cheirosa
2022-06-17 19:29:39+00:00,1,anninhagdo,"Brasília, Brasil",@MirellaGeh @sapatinha_08 e um novo da o boticario kskskskskskksksskkskksks
2022-06-17 19:28:33+00:00,0,mechamonalice,,"Desesperada pq meu perfume acabou e talvez a boticario tenha tirado ele de linha

Vou me m"
2022-06-17 19:24:59+00:00,0,silanmari,,"@luizafsimoes portinari da boticário, bom demais"
2022-06-17 18:56:21+00:00,0,bebidaschabas,"Salvador, Brasil","Não sei l que fem na cabeça do Grupo o Boticário pra colocar um batom da QDB, que veio com a proposta de produtos acessíveis, por 43 reais. https://t.co/3wnc9Haia6"
2022-06-17 18:36:43+00:00,4,pinacol4d4,lá onde os pilantra não brota,ae boticario vcs n tem vergonha nao essa porra destrói familias https://t.co/33nAkk6OSi
